Name,Control,Region,Locale,AdmissionRate,UndergradPopulation,%White,%Black,%Hispanic,% sian,%AmericanIndian,%PacificIslander,%Biracial,%NonresidentAliens,AverageCost,CompletionRate150time,3YearDefaultRate,MedianDebtonGraduation,MedianDebtonWithdrawal,MedianFamilyIncome,PovertyRate,NumberofUnemployed8yearsafterentry,NumberofEmployed8yearsafterentry,MedianEarnings8yearsAfterEntry
Abilene Christian University,Private,Southwest,Mid-size City,0.4894,3647,0.7069,0.076,0.1206,0.0099,0.0036,0.0005,0.0373,0.0417,39811,0.5637,7.5,26237.5,9500,75873.5,7.80000019,130,1327,37200
Adams State University,Public,Rocky Mountains,Remote Town,0.526,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,0.04,0,17759,0.227,9.3,0,11000,34243,11.8400002,99,752,30700
Adelphi University,Private,Mid-Atlantic,Large Suburb,0.6814,5000,0.5296,0.1062,0.1336,0.0756,0.0016,0.002,0.022,0.0396,41559,0.6251,3.7,25000,13000,54115,7.46999979,152,1524,49400
Adrian College,Private,Great Lakes,Distant Town,0.5628,1616,0.7605,0.1002,0.0217,0.0056,0.0037,0.0006,0.0384,0.0006,40199,0.5445,7.7,27000,7655,71008.5,5.71000004,34,393,33800
Adventist University of Health Sciences,Private,Southeast,Mid-size City,0.1336,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,21358,0.3953,5.4,20730,9788,49657.5,8.30000019,49,587,51800
AIB College of Business,Private,Great Plains,Mid-size City,0.6887,1007,0.6306,0.0497,0.0586,0.0189,0.006,0.003,0.0218,0.0278,22469,0.6054,7.9,20500,7125,53783,5.63999987,47,585,34200
Alabama A & M University,Public,Southeast,Mid-size City,0.8989,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,18888,0.2914,16.3,33611.5,14250,29039,14.8800001,221,1491,27000
Alabama State University,Public,Southeast,Mid-size City,0.5125,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,17400,0.2517,19.1,33452,12500,24029.5,16.9599991,274,1732,22400
Albany College of Pharmacy and Health Sciences,Private,Mid-Atlantic,Small City,0.634,1075,0.6633,0.0381,0.0484,0.1284,0.0028,0.0019,0.0084,0.0586,40718,0.7235,1,25000,15000,80225,7.6500001,9,403,125600
Albany State University,Public,Southeast,Small City,0.1992,3566,0.0443,0.91,0.0095,0.0017,0.0014,0.0003,0.002,0.0025,19025,0.4249,18,31750,17250,29794,14.0900002,106,783,27900
Albertus Magnus College,Private,New England,Mid-size City,0.6821,1278,0.4476,0.277,0.1354,0.0141,0.0023,0,0.0141,0.0016,41520,0.6063,7,29000,19392,50062.5,9.18000031,67,740,48900
Albion College,Private,Great Lakes,Fringe Town,0.5639,1284,0.8178,0.0343,0.0335,0.0156,0.0031,0.0008,0.0288,0.0304,45690,0.736,5.3,27000,12000,85027.5,5.51000023,28,448,40800
Albright College,Private,Mid-Atlantic,Small City,0.6231,2333,0.6215,0.1582,0.0883,0.0257,0.006,0.0004,0.0146,0.0309,46170,0.5371,6.7,28910,12500,66577.5,6.13999987,55,874,41700
Alcorn State University,Public,Southeast,Remote Rural,0.8291,3157,0.0326,0.9328,0.006,0.0016,0.0003,0.0025,0.0114,0.0127,20330,0.3463,15.8,27940.5,17485,21250,22.0799999,110,780,26200
Alderson Broaddus University,Private,Southeast,Distant Town,0.4321,1032,0.7403,0.1609,0.0397,0.0116,0.0068,0,0.0107,0.03,33057,0.4575,9.9,29000,5500,48013,13.4099999,36,248,43500
Alfred University,Private,Mid-Atlantic,Remote Town,0.698,1905,0.6751,0.0819,0.0688,0.0163,0.001,0,0.0262,0.0152,38830,0.6216,6.9,27000,6500,69334,7.40999985,66,712,35400
Allegheny College,Private,Mid-Atlantic,Distant Town,0.6487,2126,0.802,0.0437,0.0616,0.0254,0.0005,0,0.0405,0.0216,50044,0.7917,2.6,28800,8750,85933,6.05000019,46,535,42200
Alma College,Private,Great Lakes,Distant Town,0.6791,1385,0.8657,0.0217,0.0303,0.0166,0.0087,0,0.0245,0.0036,43157,0.6118,7.8,27000,11000,74312,6.11999989,23,379,38000
Alvernia University,Private,Mid-Atlantic,Small City,0.7762,2169,0.7045,0.1415,0.0742,0.0143,0.0005,0.0005,0.0161,0.0018,39999,0.5132,6.9,27000,11000,53135,8.48999977,94,780,40400
Alverno College,Private,Great Lakes,Large City,0.7887,1833,0.5428,0.1768,0.1811,0.0475,0.012,0.0016,0.0316,0.0065,30496,0.3852,8.3,33110,15250,38705,10.0200005,77,678,34500
American International College,Private,New England,Mid-size City,0.6779,1513,0.4382,0.2538,0.0826,0.0152,0.004,0.0073,0.0443,0.0093,40803,0.4487,6,27000,9500,49259,10.4499998,58,602,36100
American University,Private,Mid-Atlantic,Large City,0.4312,6829,0.5671,0.064,0.1012,0.0638,0.0018,0.0004,0.0499,0.0688,55159,0.7989,3.3,23500,9250,86431,5.34000015,153,1443,51600
Amherst College,Private,New England,Large Suburb,0.1428,1785,0.4174,0.1165,0.1283,0.1255,0.0011,0,0.056,0.0958,59060,0.9578,4.5,11185.5,7500,85922,6.96999979,23,190,54000
Anderson University,Private,Great Lakes,Small City,0.5545,1862,0.811,0.0575,0.0269,0.007,0.0032,0.0027,0.0043,0.0328,37937,0.5678,4.3,27999,12000,72723,5.4000001,95,925,33400
Anderson University,Private,Southeast,Small City,0.6502,2381,0.8202,0.0962,0.0328,0.0101,0.0067,0.0004,0,0,35340,0.4138,9.6,27000,9624.5,58707.5,8.30000019,57,541,32600
Andrews University,Private,Great Lakes,Fringe Town,0.3751,1765,0.2856,0.2232,0.1337,0.1258,0.0028,0.0028,0.03,0.1796,33653,0.6036,7.6,29500,15250,53737,7.92999983,76,405,33400
Angelo State University,Public,Southwest,Small City,0.8049,5430,0.5451,0.0818,0.305,0.0101,0.0048,0.0007,0.0227,0.0287,19511,0.2975,13.4,21594,8250,43559,11.3699999,156,1853,34500
Anna Maria College,Private,New England,Fringe Rural,0.7756,1135,0.7198,0.0784,0.067,0.0106,0.0035,0.0018,0.0211,0.0026,42770,0.469,10,26000,9500,67437,6.57999992,23,248,36000
Appalachian State University,Public,Southeast,Distant Town,0.6323,15840,0.8612,0.0306,0.0419,0.0136,0.0025,0.0007,0.0239,0.0076,17780,0.6857,4.8,19526,9500,69100,6.86000013,262,2992,33600
Aquinas College,Private,Great Lakes,Mid-size City,0.7135,1843,0.8486,0.032,0.0521,0.0081,0.0049,0,0.0157,0.0071,34593,0.5976,9.2,25000,15000,72085,6.28999996,54,462,31200
Arcadia University,Private,Mid-Atlantic,Large Suburb,0.5969,2400,0.7338,0.0846,0.0558,0.0463,0.0025,0.0017,0.0354,0.0204,48907,0.605,4.9,27000,10875,76319,5.78000021,81,751,38100
Arizona State University-Downtown Phoenix,Public,Southwest,Large City,0.757,8555,0.5476,0.06,0.2701,0.0456,0.0243,0.0027,0.0328,0.0116,22909,0.4732,8.5,20375,11000,0,0,0,0,0
Arizona State University-Polytechnic,Public,Southwest,Large City,0.7479,3305,0.6054,0.0375,0.1894,0.052,0.0194,0.0027,0.03,0.059,21256,0.5505,8.5,20375,11000,43477,7.71000004,0,0,0
Arizona State University-Tempe,Public,Southwest,Mid-size City,0.8023,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,21960,0.5947,8.5,20375,11000,43477,7.71000004,1444,11691,41200
Arizona State University-West,Public,Southwest,Large City,0.759,3243,0.5492,0.0577,0.2683,0.0496,0.0176,0.0043,0.0324,0.0123,20269,0.5519,8.5,20375,11000,43477,7.71000004,0,0,0
Arkansas State University-Main Campus,Public,Southeast,Small City,0.7551,9325,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,0.0166,0.0604,18809,0.3698,14.6,20959,9750,27550,13.3900003,704,4120,29100
Arkansas Tech University,Public,Southeast,Remote Town,0.8503,8734,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,0.0226,0.0332,16126,0.4025,17.4,17528,7500,31932,11.6099997,368,2284,30600
Armstrong Atlantic State University,Public,Southeast,Mid-size City,0.6998,6206,0.5947,0.2425,0.0661,0.0353,0.0024,0.0013,0.0393,0.0169,19802,0.343,8.3,20500,9500,34921,10.3100004,252,1711,36300
Art Center College of Design,Private,Far West,Mid-size City,0.8167,1742,0.2153,0.0115,0.1051,0.3456,0.0011,0.0034,0.0373,0.2428,56400,0.6436,7.2,36187,14750,28815,9.14999962,117,520,48400
Asbury University,Private,Southeast,Fringe Town,0.6573,1392,0.8348,0.033,0.0151,0.0057,0.0029,0.0014,0.0481,0.0158,33966,0.6431,5,26000,10548,68034.5,6.90999985,48,390,30200
Ashland University,Private,Great Lakes,Fringe Town,0.7438,3118,0.7886,0.1334,0.0241,0.0045,0.0055,0.0013,0.0141,0.0263,40835,0.5634,4.7,27000,14750,63187.5,5.88000011,129,1486,36300
Assumption College,Private,New England,Mid-size City,0.7422,2181,0.7066,0.0454,0.0715,0.0197,0.0018,0,0.0165,0.0105,46763,0.7273,3.5,27000,9500,103026,4.75,35,799,47900
Auburn University,Public,Southeast,Small City,0.8274,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,23788,0.6792,6.1,22250,11000,71775.5,9.59000015,345,3804,41800
Auburn University at Montgomery,Public,Southeast,Mid-size City,0.8371,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,16556,0.2705,13.1,21791,8250,27378,13,179,1220,32400
Augsburg College,Private,Great Plains,Large City,0.6086,2661,0.6005,0.0928,0.0564,0.0718,0.0128,0.0023,0.0395,0.0173,42531,0.6326,6,27000,18481.5,60818,5.05000019,67,886,41300
Augustana College,Private,Great Plains,Mid-size City,0.6809,1615,0.8712,0.0186,0.0198,0.0087,0.0012,0,0.0161,0.0644,36828,0.6643,3.3,27000,12009,76993.5,5.67999983,32,630,38200
Augustana College,Private,Great Lakes,Small City,0.5867,2504,0.7772,0.0403,0.0611,0.0176,0.0032,0.0008,0.0599,0.016,45364,0.784,5.5,27000,8000,88060,4.44000006,23,623,42800
Aurora University,Private,Great Lakes,Large Suburb,0.7595,3236,0.6143,0.0853,0.2052,0.0213,0.0034,0.0006,0.0315,0.0022,31145,0.576,6,22500,8750,61464,5.07999992,71,792,36600
Austin College,Private,Southwest,Small City,0.5861,1206,0.5779,0.0605,0.1567,0.1476,0.0149,0.0008,0.0091,0.0265,45800,0.7177,2.6,26000,8071,83025,6.78999996,33,360,41000
Austin Peay State University,Public,Southeast,Mid-size City,0.8595,9271,0.6597,0.1913,0.0554,0.0146,0.004,0.0023,0.0455,0.0038,18852,0.3603,13.7,25000,12101,30942,8.93000031,375,2092,31700
Avila University,Private,Great Plains,Large City,0.6108,1336,0.6198,0.2006,0.0786,0.0135,0.012,0.0007,0.0292,0.0457,34898,0.4912,7.9,26500,10729.5,53028,5.94000006,55,499,39500
Azusa Pacific University,Private,Far West,Large Suburb,0.7985,6543,0.4966,0.0474,0.2306,0.0827,0.0035,0.0079,0.0573,0.0185,44021,0.6486,4.1,25000,18505.5,72335.5,7.94999981,213,2087,45800
Babson College,Private,New England,Large Suburb,0.2821,2106,0.3898,0.0423,0.0997,0.1168,0.0019,0,0.0223,0.2635,58450,0.9073,1,27000,19500,80987,6.51000023,50,381,74700
Baker University,Private,Great Plains,Fringe Town,0.869,1759,0.7186,0.1086,0.0478,0.0125,0.0205,0.0051,0.0125,0.0028,37485,0.52,6.1,25291,11000,60418,5.42000008,61,927,45500
Baldwin Wallace University,Private,Great Lakes,Large Suburb,0.6396,3331,0.807,0.0883,0.0465,0.0087,0.0009,0.0009,0.0363,0.0075,37504,0.7088,3.1,27000,14000,74030,5.17999983,69,1097,39900
Ball State University,Public,Great Lakes,Small City,0.6054,15985,0.8317,0.0673,0.0348,0.0082,0.0009,0.0009,0.0195,0.0218,21101,0.5938,8.1,25000,9500,73544,5.76000023,388,5112,35800
Baptist Memorial College of Health Sciences,Private,Southeast,Large City,0.463,1101,0.5767,0.3769,0.0054,0.02,0.0009,0,0.0109,0.0009,19745,0.3878,5.9,31424.5,15750,41376,9.96000004,34,373,50100
Bard College,Private,Mid-Atlantic,Fringe Town,0.3761,1957,0.6173,0.0603,0.022,0.0419,0.0077,0,0,0.1109,60280,0.7388,3.4,24000,9750,86752.5,6.59999991,56,289,29400
Barnard College,Private,Mid-Atlantic,Large City,0.2053,2486,0.5688,0.0535,0.1114,0.1456,0.0008,0,0.0503,0.0696,59581,0.8966,2.4,17493,9750,77701,8.73999977,29,305,46900
Barry University,Private,Southeast,Large Suburb,0.4678,4284,0.2017,0.32,0.2937,0.0135,0.0028,0.0012,0.0128,0.0721,41019,0.3729,5.7,29884,14506.5,37767.5,11.29,277,2063,42200
Barton College,Private,Southeast,Fringe Town,0.4177,1043,0.5877,0.2464,0.0403,0.0077,0.0058,0.0029,0.0288,0.023,37437,0.4839,9.2,27500,11000,43763.5,10.5799999,45,506,33800
Bates College,Private,New England,Small City,0.2417,1791,0.7219,0.0514,0.0625,0.0469,0.0034,0.0006,0.0396,0.0648,59285,0.9299,1.4,17058,6700,106531,5.80000019,16,216,47600
Bay Path College,Private,New England,Large Suburb,0.576,1454,0.586,0.1183,0.1534,0.0144,0.0007,0.0007,0.0234,0.0041,40447,0.555,7.5,21538.5,13374.5,45278,7.98000002,64,590,37500
Bayamon Central University,Private,Outlying Areas,Large Suburb,0.7368,1654,0,0.006,0.994,0,0,0,0,0,11573,0.2752,16.4,7500,5325,12591,40.3400002,466,912,17400
Baylor University,Private,Southwest,Mid-size City,0.5747,13221,0.6408,0.0741,0.1386,0.0646,0.0033,0.0003,0.0473,0.0289,51086,0.7472,4.8,25281,9500,72163,7.46000004,200,2541,43700
Becker College,Private,New England,Mid-size City,0.6255,1871,0.667,0.0775,0.0951,0.0139,0.0021,0.0011,0.031,0.0064,44041,0.3069,14.9,27166,14750,54112,7.15999985,46,573,36300
Belhaven University,Private,Southeast,Mid-size City,0.4842,2487,0.3848,0.4451,0.0555,0.0133,0.0044,0.0024,0.0213,0,33375,0.3983,5.6,31250,12500,36084,11.5200005,93,905,33100
Bellarmine University,Private,Southeast,Large City,0.9478,2508,0.8405,0.0395,0.0343,0.0207,0.0024,0.0012,0.0243,0.0128,47609,0.6649,5.3,25000,9461,68519,6.36999989,44,606,42700
Belmont Abbey College,Private,Southeast,Mid-size Suburb,0.6759,1634,0.3703,0.2723,0.0184,0.0073,0.0012,0.0006,0.0043,0.0214,39328,0.381,14,27000,11000,55427,7.17000008,32,355,33300
Belmont University,Private,Southeast,Large City,0.7987,5465,0.8201,0.0401,0.0428,0.0161,0.0024,0.0004,0.0326,0.0082,41450,0.6796,1.9,23250,8750.5,83588,6.17999983,84,1048,37600
Beloit College,Private,Great Lakes,Small City,0.6769,1244,0.7122,0.0466,0.0828,0.0193,0.0048,0.0024,0.0273,0.0844,48236,0.7815,1,26500,12000,90105,5.5,37,278,33300
Bemidji State University,Public,Great Plains,Remote Town,0.6678,4397,0.861,0.0189,0.0155,0.0091,0.0264,0.0002,0.0257,0.0202,18166,0.4758,8.5,21500,9500,53717,7.73999977,131,1428,35100
Benedictine College,Private,Great Plains,Distant Town,0.6057,1750,0.8023,0.0343,0.06,0.0109,0.004,0.0029,0.0309,0.0297,36805,0.5922,5.5,26250,9500,79145.5,6.6500001,48,465,35000
Benedictine University,Private,Great Lakes,Large Suburb,0.695,3739,0.4491,0.0968,0.0861,0.1417,0.0024,0.0029,0,0.0187,35481,0.5247,4.5,21500,16000,53068,4.84000015,80,693,43400
Bentley University,Private,New England,Small City,0.4379,4172,0.6146,0.0295,0.0686,0.0803,0.001,0,0.0177,0.1453,54806,0.8727,1,27000,17375,93494,5.03000021,66,1199,69000
Berea College,Private,Southeast,Distant Town,0.3401,1587,0.6446,0.1512,0.0422,0.0151,0.0025,0.0019,0.051,0.0756,30396,0.6167,12.8,5750,4676.5,29786.5,12.2299995,55,509,29700
Berklee College of Music,Private,New England,Large City,0.3617,4402,0.3866,0.0534,0.0888,0.0338,0.0011,0.0018,0.0404,0.3105,56335,0.4963,13.6,27000,14000,79421,6.55000019,182,1013,26200
Berry College,Private,Southeast,Small Suburb,0.6032,2122,0.845,0.0396,0.0575,0.0108,0.0019,0.0009,0.0264,0.0066,40965,0.6015,4,23875,5500,71090,6.55000019,46,502,34600
Bethel College-Indiana,Private,Great Lakes,Small City,0.7158,1579,0.772,0.1248,0.0576,0.0044,0.0019,0.0032,0.0234,0.0108,33617,0.6466,7.1,21883.5,18092,54043,6.34000015,77,704,33200
Bethel University,Private,Great Plains,Large Suburb,0.9485,3178,0.8389,0.0579,0.0198,0.0315,0.0006,0.0003,0.0236,0.0038,42692,0.7136,3.6,23950,15000,82520,3.88000011,77,1069,41100
Bethel University,Private,Southeast,Distant Town,0.5103,5063,0.507,0.3701,0.0138,0.0051,0.0032,0.0012,0.0065,0.0122,26864,0.302,10.2,25000,11504,37640.5,10.4200001,87,757,35200
Bethune-Cookman University,Private,Southeast,Small City,0.666,3723,0.0223,0.895,0.0282,0.0021,0.0008,0.0027,0.0185,0.0158,27017,0.5505,16.8,35650,11937.5,31109,14.29,135,959,23500
Biola University,Private,Far West,Large Suburb,0.7286,4324,0.5481,0.0197,0.1714,0.1589,0.0023,0.0035,0.0624,0.018,44573,0.6819,2.2,23969,12000,71594,7.46999979,167,1043,37600
Birmingham Southern College,Private,Southeast,Mid-size City,0.6422,1181,0.8103,0.094,0.0305,0.039,0.0102,0,0.0076,0,44512,0.6192,9.9,27000,9500,89942.5,7.90999985,27,257,38200
Black Hills State University,Public,Great Plains,Distant Town,0.8924,3156,0.8571,0.0105,0.045,0.0051,0.0383,0.0022,0.032,0.006,15906,0.3347,8,25950,9500,45782.5,9.32999992,161,1430,31700
Bloomfield College,Private,Mid-Atlantic,Large Suburb,0.5464,1906,0.1207,0.5058,0.2162,0.0378,0.0047,0.0026,0.0058,0.0341,38858,0.3642,10,31000,11000,32407,12.6400003,119,789,33600
Bloomsburg University of Pennsylvania,Public,Mid-Atlantic,Small City,0.8856,9245,0.8133,0.081,0.0463,0.0088,0.0006,0.0008,0.0184,0.0115,21732,0.6182,6.3,25568,8750,72266.5,6.55000019,194,2706,39500
Bluefield State College,Public,Southeast,Remote Town,0.4267,1708,0.8501,0.1036,0.0129,0.0023,0.0012,0,0.0047,0.0234,14940,0.2365,26.8,20500,11000,21135,16.1100006,394,1477,25700
Boise State University,Public,Rocky Mountains,Mid-size City,0.7766,16557,0.7621,0.0157,0.0912,0.0228,0.0069,0.0042,0.03,0.0368,18227,0.3801,11.4,24898,11582,33780.5,7.19999981,794,4723,33000
Boston College,Private,New England,Small City,0.3222,9465,0.5797,0.0432,0.1055,0.0937,0.0007,0.0003,0.028,0.052,58639,0.913,1.4,19000,12042,81102,5.92999983,186,2231,61800
Boston University,Private,New England,Large City,0.4561,16460,0.4733,0.0323,0.0928,0.1326,0.0007,0.001,0.0376,0.1586,59036,0.8448,2,27000,15562.5,91507,5.76999998,334,4062,53600
Bowdoin College,Private,New England,Fringe Town,0.1495,1789,0.6417,0.047,0.1247,0.0699,0.0011,0.0006,0.062,0.047,58200,0.9326,0.6,19500,10978,89780.5,7.42999983,20,281,48600
Bowie State University,Public,Mid-Atlantic,Large Suburb,0.5176,4313,0.0227,0.8885,0.0276,0.0141,0.0009,0.0014,0.0276,0.0086,18581,0.3524,16.1,23320,15500,45228,6.90999985,110,1068,42600
Bowling Green State University-Main Campus,Public,Great Lakes,Fringe Town,0.7247,14161,0.7783,0.1004,0.0409,0.0085,0.0025,0.0011,0.0237,0.0159,22416,0.541,11.7,26000,9500,70038,5.98000002,383,5119,35500
Bradley University,Private,Great Lakes,Mid-size City,0.6694,4823,0.79,0.0616,0.0587,0.0344,0.0025,0.001,0.0379,0.0085,40330,0.7563,2.9,27000,10803,85839,5.17999983,117,1784,45000
Brandeis University,Private,New England,Small City,0.3704,3603,0.501,0.0516,0.0655,0.1243,0.0006,0,0.028,0.1482,58850,0.8959,2.4,27000,12000,97995,5.69999981,64,605,47400
Brenau University,Private,Southeast,Small City,0.7829,1683,0.514,0.3125,0.0636,0.0184,0.0024,0.0012,0.0261,0.0261,34107,0.4554,5,28956,12500,40713,7.69000006,58,570,38100
Bridgewater College,Private,Southeast,Small Suburb,0.5493,1822,0.7914,0.0895,0.0302,0.0082,0.0033,0.0005,0.0417,0.0071,41180,0.5991,6,27000,7500,82400,5.80999994,41,557,37500
Bridgewater State University,Public,New England,Large Suburb,0.786,9489,0.8065,0.0771,0.053,0.0187,0.0022,0.0009,0.0259,0.0045,19303,0.5751,7.9,24998,11250,72560,5.19999981,179,2192,39100
Brigham Young University-Hawaii,Private,Far West,Fringe Town,0.3604,2664,0.3566,0.0034,0.0556,0.036,0.0023,0.0706,0.0867,0.3885,14544,0.4703,6.9,10000,5500,22339,8.65999985,141,453,34100
Brigham Young University-Idaho,Private,Rocky Mountains,Distant Town,0.9963,20208,0.8319,0.0055,0.0323,0.0096,0.0033,0.004,0.0558,0.0412,10438,0.6011,2.9,11966.5,6250,31581,7.94000006,1481,3339,33800
Brigham Young University-Provo,Private,Rocky Mountains,Mid-size City,0.4942,27765,0.8344,0.0047,0.0554,0.0198,0.0041,0.006,0.031,0.0323,17174,0.7797,1.3,11000,7400,20347,8.03999996,2217,6090,47400
Brown University,Private,New England,Mid-size City,0.0918,6182,0.4327,0.0642,0.1084,0.1233,0.0039,0.001,0.0537,0.1166,58140,0.9452,1.3,16000,11966.5,84559,7.26999998,94,803,54400
Bryan College-Dayton,Private,Southeast,Distant Town,0.3762,1209,0.8619,0.0562,0.0149,0.0033,0.0017,0.0033,0.0165,0.0199,29489,0.6154,6.9,18750,8962,55458.5,8.30000019,39,279,35400
Bryant University,Private,New England,Large Suburb,0.7655,3263,0.7432,0.042,0.0634,0.042,0.0043,0.0015,0.0003,0.0714,50858,0.8198,2.5,27000,10125,104089,4.67999983,54,1086,57800
Bryn Mawr College,Private,Mid-Atlantic,Large Suburb,0.3992,1316,0.3739,0.0517,0.095,0.1079,0.0015,0,0.0448,0.2249,57586,0.8409,1.8,25000,12000,70896,6.71000004,44,264,46800
Bucknell University,Private,Mid-Atlantic,Distant Town,0.2951,3498,0.787,0.0323,0.0523,0.0366,0.0003,0,0.032,0.0529,59090,0.9076,1.3,27000,13650.5,102976,4.76999998,31,627,54800
Buena Vista University,Private,Great Plains,Remote Town,0.6955,2125,0.8259,0.0184,0.0518,0.0104,0.0047,0.0014,0.0094,0.0174,39011,0.5265,7.8,24218,12500,47120.5,6.38000011,96,1484,36100
Buffalo State SUNY,Public,Mid-Atlantic,Large City,0.4853,9190,0.6294,0.2055,0.093,0.0217,0.0037,0.0013,0.0297,0.0133,18088,0.4892,8.8,21665.5,10750,45557,10.4899998,335,3388,34300
Butler University,Private,Great Lakes,Large City,0.661,3998,0.8269,0.0353,0.032,0.0283,0.002,0,0.014,0.0225,47010,0.7386,2,26600,10975,99069,4.82000017,46,1112,50700
Cabrini College,Private,Mid-Atlantic,Large Suburb,0.7428,1286,0.7154,0.1345,0.0537,0.0124,0.0016,0.0016,0.028,0.0008,43541,0.4561,5.5,26000,6250,91613,5.13999987,63,609,38600
Caldwell College,Private,Mid-Atlantic,Large Suburb,0.6408,1570,0.1873,0.0497,0.0554,0.0089,0.0006,0,0,0.0433,38223,0.5345,6.8,26499,11930,50740,6.84999991,48,468,38400
California Baptist University,Private,Far West,Large City,0.788,5797,0.448,0.084,0.3012,0.0497,0.0071,0.0098,0.0285,0.0191,39026,0.5808,6.7,27686.5,18750,63947,9.90999985,139,905,36600
California College of the Arts,Private,Far West,Large City,0.8157,1463,0.3329,0.0403,0.1367,0.1627,0.0027,0.0082,0,0.2228,53837,0.6183,6.7,27000,13182,37618,7.98000002,100,421,30900
California Lutheran University,Private,Far West,Mid-size City,0.4802,2882,0.5232,0.0427,0.2523,0.0642,0.0135,0.0087,0.0173,0.0382,48630,0.7005,3.8,23000,13000,76461,6.48999977,59,649,44300
California Maritime Academy,Public,Far West,Mid-size City,0.748,1044,0.5785,0.0239,0.1561,0.0824,0.0038,0.0067,0.0852,0.0048,22223,0.5871,5.8,26000,18925,60317.5,6.38000011,16,219,74300
California Polytechnic State University-San Luis Obispo,Public,Far West,Small Suburb,0.3123,18664,0.5956,0.0076,0.1489,0.1134,0.0024,0.0027,0.0672,0.0128,23867,0.6972,3.1,19500,12000,72114,7.15999985,261,3017,55400
California State Polytechnic University-Pomona,Public,Far West,Large Suburb,0.5218,20857,0.2159,0.0323,0.3722,0.2501,0.002,0.0028,0.039,0.0425,19402,0.5237,3.8,18001,11691,30962,11.0900002,433,3946,45000
California State University-Bakersfield,Public,Far West,Large City,0.6626,7226,0.196,0.0656,0.4979,0.065,0.0073,0.0017,0.0309,0.0255,18061,0.3946,9.6,16174.5,9000,28069.5,16.3899994,291,1925,42300
California State University-Channel Islands,Public,Far West,Mid-size Suburb,0.6443,4950,0.3804,0.0246,0.4147,0.0545,0.0038,0.002,0.0481,0.0012,22570,0.5156,5,16000,10325,32103,7.30000019,16,107,35800
California State University-Chico,Public,Far West,Small City,0.7161,15106,0.5255,0.019,0.23,0.0579,0.0061,0.0014,0.0487,0.033,22926,0.5605,7.6,16500,11596,37864,9.63000011,414,3594,41100
California State University-Dominguez Hills,Public,Far West,Small City,0.5747,11894,0.0931,0.1703,0.5397,0.0943,0.0019,0.0041,0.0281,0.0246,12957,0.2935,11.2,17201.5,12390,25199.5,17.8199997,324,2641,39100
California State University-East Bay,Public,Far West,Mid-size City,0.6872,12079,0.1843,0.1083,0.2546,0.2439,0.0016,0.0111,0.0572,0.0659,20676,0.3808,5.8,16312,11349.5,22898,8.39000034,329,2361,45800
California State University-Fresno,Public,Far West,Large City,0.5815,19911,0.2511,0.0404,0.4258,0.1566,0.0038,0.0025,0.0305,0.0344,16377,0.4859,6.5,16500,12000,28781,16.0699997,537,4757,38100
California State University-Fullerton,Public,Far West,Large Suburb,0.4579,33000,0.2556,0.0222,0.375,0.2165,0.002,0.0027,0.0408,0.0445,16663,0.5347,5.6,14718,10224,31500,9.40999985,795,6364,40500
California State University-Long Beach,Public,Far West,Large City,0.3082,30440,0.214,0.0399,0.3672,0.2292,0.0056,0.0042,0.0431,0.0531,18085,0.6033,5.5,15775,11000,30725,11.9399996,680,5955,42400
California State University-Los Angeles,Public,Far West,Large City,0.6752,19525,0.0812,0.0465,0.5965,0.1645,0.001,0.0029,0.016,0.0479,14747,0.3565,7.6,14125,9834,20015,17.5100002,591,4511,39400
California State University-Monterey Bay,Public,Far West,Mid-size Suburb,0.444,5153,0.3435,0.0638,0.4036,0.0472,0.0052,0.0052,0.058,0.0126,18479,0.3828,7.6,17750,10406.5,38387,9.06000042,149,1093,37100
California State University-Northridge,Public,Far West,Large City,0.4624,33581,0.2575,0.0623,0.4029,0.1123,0.0017,0.0026,0.0335,0.0734,20899,0.4575,7.6,15000,9000,27373,12.9399996,968,7257,38300
California State University-Sacramento,Public,Far West,Large City,0.6968,25991,0.3247,0.0591,0.2567,0.2086,0.0046,0.0093,0.0585,0.0149,19380,0.4285,7.1,17250,12000,28449,10.1400003,772,5864,42700
California State University-San Bernardino,Public,Far West,Mid-size City,0.5831,15887,0.1743,0.0729,0.5549,0.0632,0.0025,0.0023,0.0283,0.0555,17030,0.4112,9.7,18482,12500,28986.5,13.3599997,552,3762,40600
California State University-San Marcos,Public,Far West,Large Suburb,0.6251,10689,0.3525,0.0327,0.3657,0.0952,0.0045,0.0044,0.0491,0.0201,20386,0.4791,6.4,18500,12500,31166,7.21999979,271,1871,40500
