Name,Control,Region,Locale,AdmissionRate,UndergradPopulation,%White,%Black,%Hispanic,% sian,%AmericanIndian,%PacificIslander,%Biracial,%NonresidentAliens,AverageCost,CompletionRate150time,3YearDefaultRate,MedianDebtonGraduation,MedianDebtonWithdrawal,MedianFamilyIncome,PovertyRate,NumberofUnemployed8yearsafterentry,NumberofEmployed8yearsafterentry,MedianEarnings8yearsAfterEntry
Inter American University of Puerto Rico-Bayamon,Private,Outlying Areas,Large Suburb,0.4439,4681,0.0026,0.0017,0.9949,0,0.0009,0,0,0,10413,0.2372,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Inter American University of Puerto Rico-Fajardo,Private,Outlying Areas,Small Suburb,0.7632,2159,0.0009,0,0.9991,0,0,0,0,0,10578,0.1958,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Inter American University of Puerto Rico-Guayama,Private,Outlying Areas,Small City,0.7286,2054,0.001,0.001,0.9971,0,0.001,0,0,0,11944,0.3066,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Inter American University of Puerto Rico-Metro,Private,Outlying Areas,Large City,0.3711,6844,0.0047,0.0075,0.9851,0.0019,0.0003,0.0006,0,0,13319,0.2327,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Inter American University of Puerto Rico-Ponce,Private,Outlying Areas,Mid-size Suburb,0.5307,5353,0.0002,0.0002,0.9979,0,0.0017,0,0,0,10884,0.3068,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Inter American University of Puerto Rico-San German,Private,Outlying Areas,Small City,0.6976,4308,0.0021,0.0012,0.9954,0.0002,0.0009,0.0002,0,0,10830,0.3586,19.5,8500,7000,13417.5,47.3499985,6252,12195,17500
Iona College,Private,Mid-Atlantic,Large Suburb,0.9212,3166,0.5913,0.0786,0.1927,0.018,0.0025,0.0016,0.0161,0.0208,44623,0.6258,4.3,25250,12000,79521,7.96999979,95,1081,45400
Iowa State University,Public,Great Plains,Small City,0.8252,27112,0.7724,0.0253,0.0429,0.0269,0.0021,0.001,0.0195,0.0732,18820,0.681,5.1,25250,9751,73557,5.44999981,433,6659,43500
Ithaca College,Private,Mid-Atlantic,Small Suburb,0.666,6202,0.6911,0.0468,0.0734,0.0303,0.0019,0.0006,0.0287,0.019,53521,0.7575,1.7,26300,9026,92718,5.4000001,98,1827,45600
Jackson State University,Public,Southeast,Mid-size City,0.6464,6880,0.0493,0.9206,0.0065,0.0035,0.0049,0,0.0151,0,18724,0.3852,14.9,31000,19500,21113,19.1399994,254,1740,26000
Jacksonville State University,Public,Southeast,Small City,0.8326,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,19202,0.3083,11.3,23500,12000,35158,11.4499998,306,2276,31300
Jacksonville University,Private,Southeast,Large City,0.4737,3360,0.489,0.1607,0.0708,0.0321,0.011,0.0021,0,0.0286,42459,0.3821,7.7,22334,11145,55957,7.67000008,79,920,42100
James Madison University,Public,Southeast,Small City,0.6356,18127,0.788,0.0399,0.0472,0.0414,0.0015,0.0018,0.0323,0.0195,21980,0.815,2.5,20683.5,9500,99908,4.65999985,197,3208,48800
John Brown University,Private,Southeast,Distant Town,0.6982,1770,0.8017,0.0209,0.0525,0.009,0.0119,0.0006,0.0322,0.0667,33326,0.6537,4.8,22500,13000,53841.5,8.05000019,77,644,43100
John Carroll University,Private,Great Lakes,Large Suburb,0.8334,3009,0.8375,0.0449,0.0376,0.0166,0.001,0,0.0186,0.0093,45714,0.7528,3.7,27000,9548.5,88730,5.73000002,50,918,45100
